ID_Appels,Source_revenu_menage,Niveau_education,Situation_menage,Situation_logement,Citoyennete_statut_immigration,Historique_recours_aide_alimentaire,Obtenu_aide_grace_aux_ressources,Apres_combien_jours_demarches,Apres_combien_jours_obtenu_aide,Retourner_aux_ressources_aide,Niveau_satisfaction_globale,Pourquoi_pas_obtenu_aide
93097092,Aide sociale,Ne veut pas répondre,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Ne les a pas contacté,,,,
93097485,Aide sociale,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,,,,,Processus dinscription trop complexe
93098545,Emploi temps plein,Secondaire,Biparentale,Marché locatif privé,Réfugié-e,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,,,,,Incapacité à joindre l'organisme
93137778,Aide sociale,Professionnel (DEP),Monoparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
93146792,Emploi temps plein,Collégial (Technique),Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
93249826,Aide sociale,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Après 2 jours ou plus,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
93357335,Aide sociale,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
93360457,Aide sociale,Primaire,Biparentale,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Ne les a pas contacté,,,,
93469892,Emploi temps partiel,Universitaire - 1er cycle,Biparentale,Marché locatif privé,Visa temporaire,Première fois,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
93621050,,,,,,,,,,,,
93661323,Aide sociale,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,3,
93872832,Allocation familiale,Primaire,Biparentale,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Na pas reçu daide encore,,,
93914564,Assurance emploi (chômage),Universitaire - 1er cycle,Monoparentale,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Non  je n'ai pas été satisfait·e du service,1,
94126164,Aide sociale,Primaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Même jour,Na pas reçu daide encore,,,
94126286,Emploi temps partiel,Universitaire - 1er cycle,Cohabitation,,Visa temporaire,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,
94132609,Emploi temps plein,Universitaire - 1er cycle,Couple sans enfant,Marché locatif privé,Visa temporaire,Première fois,Non  n'a pas obtenu d'aide,,,,,Incapacité à joindre l'organisme
94198125,Assurance emploi (chômage),Primaire,Personne célibataire vivant seule,Coopérative,Citoyenneté canadienne à la naissance,Première fois,,,,,,
94338908,,,,,,,,,,,,
94338914,Ne veut pas répondre,Ne veut pas répondre,Ne souhaite pas répondre,Ne souhaite pas répondre,Ne souhaite pas répondre,Ne souhaite pas répondre,Non  n'a pas obtenu d'aide,,Na pas reçu daide encore,,,
94341226,Emploi temps partiel,Professionnel (DEP),Biparentale,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
94377259,Aide sociale,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
94378276,Pension de vieillesse,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Même jour,,,,Processus dinscription trop complexe
94466452,,,,,,,,,,,,
94468511,Pension de vieillesse,Collégial (Technique),Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Première fois,,Même jour,Lendemain,Oui  au moins une fois par mois,3,
94597211,Assurance emploi (chômage),Primaire,Couple sans enfant,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
94605499,Assurance emploi (chômage),Universitaire - 1er cycle,Biparentale,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  mais moins d'une fois par mois,4,
94658124,Aucun revenu,Collégial (Technique),Cohabitation,Marché locatif privé,Visa temporaire,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
94737618,Assurance emploi (chômage),Universitaire - 1er cycle,Cohabitation,Marché locatif privé,Résidence permanente,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Lendemain,Oui  au moins une fois par mois,3,
94885312,Assurance emploi (chômage),Primaire,Monoparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
94905084,Autre,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
94939634,Aucun revenu,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Non  n'a pas obtenu d'aide,Lendemain,Na pas reçu daide encore,,,
94944466,Prêts et bourses étudiants,Professionnel (DEP),Biparentale,Marché locatif privé,Résidence permanente,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,,
94983860,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
95022457,Aide sociale,Primaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,
95023470,Régimes dinvalidité,Primaire,Biparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
95027359,Assurance emploi (chômage),Collégial (Technique),Monoparentale,Logement subventionné,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
95037912,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Ne les a pas contacté,Na pas reçu daide encore,Oui  mais moins d'une fois par mois,5,
95107286,Aucun revenu,Professionnel (DEP),Personne célibataire vivant seule,Résidence privée pour aîné-es,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
95110578,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Première fois,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Même jour,Après 2 jours ou plus,Oui  mais moins d'une fois par mois,5,
95163269,Aide sociale,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Ne les a pas contacté,Na pas reçu daide encore,Non  je n'ai pas été satisfait·e du service,2,Autres
95201040,Emploi temps plein,Universitaire - 2e cycle,Biparentale,Marché locatif privé,Visa temporaire,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,2,
95244100,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,Même jour,,,,
95253400,Emploi temps partiel,Secondaire,Biparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
95263380,Aide sociale,Universitaire - 2e cycle,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Lendemain,Après 2 jours ou plus,Oui  mais moins d'une fois par mois,4,
95285939,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,,Service temporairement non disponible
95308486,Aide sociale,Collégial (Technique),Biparentale,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,,,
95382653,Assurance emploi (chômage),Collégial (Technique),Biparentale,Marché locatif privé,Résidence permanente,Au moins une fois par mois depuis plusieurs années (avant mars 2020),,Même jour,Après 2 jours ou plus,,,
95394087,Aucun revenu,Primaire,Monoparentale,Marché locatif privé,Citoyenneté canadienne acquise,Au moins une fois par mois depuis plusieurs années (avant mars 2020),En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,Coût trop élevé
95430219,Emploi temps partiel,Collégial (Technique),Biparentale,Propriétaire,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,,,,,Conditions d'admission non remplies
95435632,Aide sociale,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,4,
95487855,Aucun revenu,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
95568431,Aucun revenu,Primaire,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,,
95578070,Aucun revenu,Ne veut pas répondre,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Même jour,Même jour,Oui  au moins une fois par mois,3,
95695668,Aide sociale,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Résidence permanente,Première fois,,,Même jour,Oui  au moins une fois par mois,,
95762596,Autre,Secondaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  mais moins d'une fois par mois,5,
95800599,Assurance emploi (chômage),Secondaire,Biparentale,Marché locatif privé,Résidence permanente,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Même jour,Na pas reçu daide encore,,,Incapacité à joindre l'organisme
95829147,,,,,,,,,,,,
95940397,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
96978955,Allocation familiale,Primaire,Monoparentale,Marché locatif privé,Réfugié-e,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
97015853,Aide sociale,Primaire,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne à la naissance,Minimum une fois par mois depuis le début de la pandémie (mars 2020),En attente  a obtenu un rendez-vous / Waiting  got an appointment,Même jour,,,,
97106475,Emploi temps plein,Collégial (Technique),Biparentale,Marché locatif privé,Résidence permanente,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Non  n'a pas obtenu d'aide,Même jour,Na pas reçu daide encore,,,Horaire de service ne convient pas
97110076,Emploi temps plein,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Ne les a pas contacté,Na pas reçu daide encore,,,Autres
97162445,Aucun revenu,Secondaire,Biparentale,Sans domicile fixe,Demande dasile,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Lendemain,Oui  mais moins d'une fois par mois,5,Conditions d'admission non remplies
97167032,Aide sociale,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  mais moins d'une fois par mois,5,
97285765,Ne veut pas répondre,,Ne souhaite pas répondre,,Ne souhaite pas répondre,,Non  n'a pas obtenu d'aide,,,,,
97297512,Régimes dinvalidité,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
97307274,,,,,,,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,,,,,
97343036,Pension de vieillesse,Secondaire,Personne célibataire vivant seule,Résidence privée pour aîné-es,Citoyenneté canadienne acquise,Minimum une fois par mois depuis le début de la pandémie (mars 2020),En attente  a obtenu un rendez-vous / Waiting  got an appointment,,,,,
97391352,Pension de vieillesse,Primaire,Multigénérationnel,Logement subventionné,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
97392503,Aide sociale,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
97392645,Emploi temps plein,Universitaire - 1er cycle,Biparentale,Marché locatif privé,Visa temporaire,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Non  je n'ai pas été satisfait·e du service,5,
97423083,Pension de vieillesse,Primaire,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,Même jour,,,,Incapacité à joindre l'organisme
97445604,Allocation familiale,Secondaire,Multigénérationnel,,Demande dasile,Première fois,Non  n'a pas obtenu d'aide,Lendemain,,,,Incapacité à joindre l'organisme
97519598,Aide sociale,Universitaire - 1er cycle,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,4,
97582322,Régimes dinvalidité,Secondaire,Monoparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Non  n'a pas obtenu d'aide,Lendemain,,,,Aucun transport
97627935,Emploi temps partiel,Secondaire,Personne célibataire vivant seule,Marché locatif privé,Ne souhaite pas répondre,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,3,
97631962,Aucun revenu,Universitaire - 1er cycle,Couple sans enfant,Marché locatif privé,Visa temporaire,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 2 jours ou plus,Oui  au moins une fois par mois,5,
97668604,Emploi temps plein,Universitaire - 2e cycle,Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Même jour,Oui  au moins une fois par mois,5,
97669176,Aide sociale,Secondaire,Cohabitation,Marché locatif privé,Citoyenneté canadienne à la naissance,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,
97674726,Pension de vieillesse,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après le premier suivi,Même jour,Après 1 semaine ou plus,Oui  au moins une fois par mois,4,Incapacité à joindre l'organisme
97911916,Aide sociale,Professionnel (DEP),Cohabitation,Ne souhaite pas répondre,Citoyenneté canadienne à la naissance,Première fois,Non  n'a pas obtenu d'aide,Après 2 jours ou plus,Na pas reçu daide encore,,,Incompatibilité dappartenance religieuse
97929601,Emploi temps partiel,Secondaire,Biparentale,Logement subventionné,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,Incapacité à joindre l'organisme
97978823,Aide sociale,Secondaire,Personne célibataire vivant seule,Logement subventionné,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un troisième suivi,Après 2 jours ou plus,Après 1 semaine ou plus,Oui  au moins une fois par mois,5,Incapacité à joindre l'organisme
98015849,Aide sociale,Professionnel (DEP),Biparentale,,Demande dasile,Première fois,Non  a trouvé de l'aide  mais auprès d'autres ressources non référées par le 211,Même jour,,,,Incapacité à joindre l'organisme
98021256,,,,,,,Non  n'a pas obtenu d'aide,,,,,
98111597,Aide sociale,Universitaire - 3e cycle,Cohabitation,Marché locatif privé,Citoyenneté canadienne acquise,Moins d'une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,
98117659,,,,,,,Non  n'a pas obtenu d'aide,,,,,Incapacité à joindre l'organisme
98127150,Aucun revenu,Collégial (Technique),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne acquise,Minimum une fois par mois depuis le début de la pandémie (mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,4,
98159897,Régimes dinvalidité,Professionnel (DEP),Biparentale,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 après un deuxième suivi,Même jour,Après 1 semaine ou plus,Oui  mais moins d'une fois par mois,5,
98164120,Autre,Ne veut pas répondre,Multigénérationnel,Marché locatif privé,Citoyenneté canadienne acquise,Première fois,Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,4,
98174385,,,,,,,,,,,,
98247442,Aide sociale,Secondaire,Monoparentale,Logement subventionné,Résidence permanente,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,4,
98255719,Aide sociale,Professionnel (DEP),Personne célibataire vivant seule,Marché locatif privé,Citoyenneté canadienne à la naissance,Au moins une fois par mois depuis plusieurs années (avant mars 2020),Oui  a trouvé de l'aide parmi les ressources référées par le 211 dès la première fois,Même jour,Lendemain,Oui  au moins une fois par mois,5,
